Frame,Stick X,Stick Y,Button Mask,Buttons Pressed
612,0,0,0x0200,D-Left
613,0,0,0x0200,D-Left
614,0,0,0x0200,D-Left
615,0,0,0x0200,D-Left
616,0,0,0x0200,D-Left
617,0,0,0x0200,D-Left
618,0,0,0x0200,D-Left
619,0,0,0x0200,D-Left
620,0,0,0x0200,D-Left
621,0,0,0x0200,D-Left
622,0,0,0x0200,D-Left
623,0,0,0x0200,D-Left
624,0,0,0x0200,D-Left
625,0,0,0x0200,D-Left
626,0,0,0x0200,D-Left
627,0,0,0x0200,D-Left
628,0,0,0x0200,D-Left
629,0,0,0x0200,D-Left
630,0,0,0x0200,D-Left
631,0,0,0x0200,D-Left
632,0,0,0x0200,D-Left
633,0,0,0x0200,D-Left
634,0,0,0x0200,D-Left
635,0,0,0x0200,D-Left
636,0,0,0x0200,D-Left
637,0,0,0x0200,D-Left
638,0,0,0x0200,D-Left
639,0,0,0x0200,D-Left
640,0,0,0x0200,D-Left
641,0,0,0x0200,D-Left
642,0,0,0x0200,D-Left
643,0,0,0x0200,D-Left
644,0,0,0x0200,D-Left
645,0,0,0x0200,D-Left
646,0,0,0x0200,D-Left
647,0,0,0x0200,D-Left
648,0,0,0x0200,D-Left
649,0,0,0x0200,D-Left
650,0,0,0x0200,D-Left
651,0,0,0x0200,D-Left
652,0,0,0x0200,D-Left
653,0,0,0x0200,D-Left
654,0,0,0x0200,D-Left
655,0,0,0x0200,D-Left
656,0,0,0x0200,D-Left
657,0,0,0x0200,D-Left
658,0,0,0x0200,D-Left
659,0,0,0x0200,D-Left
660,0,0,0x0200,D-Left
661,0,0,0x0200,D-Left
662,0,0,0x0200,D-Left
663,0,0,0x0200,D-Left
664,0,0,0x0200,D-Left
665,0,0,0x0200,D-Left
666,0,0,0x0200,D-Left
667,0,0,0x0200,D-Left
668,0,0,0x0200,D-Left
669,0,0,0x0200,D-Left
670,0,0,0x0200,D-Left
671,0,0,0x0200,D-Left
672,0,0,0x0200,D-Left
673,0,0,0x0200,D-Left
674,0,0,0x0200,D-Left
675,0,0,0x0200,D-Left
676,0,0,0x0200,D-Left
677,0,0,0x0200,D-Left
678,0,0,0x0200,D-Left
679,0,0,0x0200,D-Left
680,0,0,0x0200,D-Left
681,0,0,0x0200,D-Left
682,0,0,0x0200,D-Left
683,0,0,0x0200,D-Left
684,0,0,0x0200,D-Left
685,0,0,0x0200,D-Left
686,0,0,0x0200,D-Left
687,0,0,0x0200,D-Left
688,0,0,0x0200,D-Left
689,0,0,0x0200,D-Left
690,0,0,0x0200,D-Left
691,0,0,0x0200,D-Left
692,0,0,0x0200,D-Left
693,0,0,0x0200,D-Left
694,0,0,0x0200,D-Left
695,0,0,0x0200,D-Left
696,0,0,0x0200,D-Left
697,0,0,0x0200,D-Left
698,0,0,0x0200,D-Left
699,0,0,0x0200,D-Left
700,0,0,0x0200,D-Left
701,0,0,0x0100,D-Right
702,0,0,0x0100,D-Right
703,0,0,0x0100,D-Right
704,0,0,0x0100,D-Right
705,0,0,0x0100,D-Right
706,0,0,0x0100,D-Right
707,0,0,0x0100,D-Right
708,0,0,0x0100,D-Right
709,0,0,0x0100,D-Right
710,0,0,0x0100,D-Right
711,0,0,0x0100,D-Right
712,0,0,0x0100,D-Right
713,0,0,0x0100,D-Right
714,0,0,0x0100,D-Right
715,0,0,0x0100,D-Right
716,0,0,0x0100,D-Right
717,0,0,0x0100,D-Right
718,0,0,0x0100,D-Right
719,0,0,0x0100,D-Right
720,0,0,0x0100,D-Right
721,0,0,0x0100,D-Right
722,0,0,0x0100,D-Right
723,0,0,0x0100,D-Right
724,0,0,0x0100,D-Right
725,0,0,0x0100,D-Right
726,0,0,0x0100,D-Right
727,0,0,0x0100,D-Right
728,0,0,0x0100,D-Right
729,0,0,0x0100,D-Right
730,0,0,0x0100,D-Right
